,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Miles_Driven
0,2010,CNG,Manual,First,62,998.0,58.16,2662,44738
1,2015,Diesel,Manual,First,46,1582.0,126.2,19015,25476
2,2011,Petrol,Manual,First,42,1199.0,88.7,6845,28583
3,2012,Diesel,Manual,First,48,1248.0,88.76,9127,54059
4,2013,Diesel,Automatic,Second,35,1968.0,140.8,26986,25271
5,2012,LPG,Manual,First,49,814.0,55.2,3574,46602
6,2013,Diesel,Manual,First,54,1461.0,63.1,5324,54058
7,2016,Diesel,Automatic,First,26,2755.0,171.5,26621,22369
8,2013,Diesel,Manual,First,48,1598.0,103.6,7910,40034
9,2012,Diesel,Manual,Second,52,1248.0,74.0,2966,40968
10,2018,Petrol,Manual,First,50,1462.0,103.25,15136,15964
11,2012,Petrol,Automatic,First,39,1497.0,116.3,6830,37282
12,2015,Diesel,Manual,First,59,1248.0,74.0,8518,40031
13,2014,Diesel,Automatic,First,29,2179.0,187.7,41072,44738
14,2012,Diesel,Automatic,Second,0,2179.0,115.0,26621,52816
15,2014,Diesel,Manual,First,31,2477.0,175.56,22818,68350
16,2016,Diesel,Manual,First,60,1498.0,98.6,8214,36629
17,2017,Diesel,Manual,First,66,1248.0,74.0,9112,15534
18,2014,Diesel,Manual,First,48,1461.0,83.8,9644,48136
19,2014,Diesel,Automatic,First,34,2143.0,167.62,42594,48777
20,2014,Diesel,Automatic,First,53,1995.0,190.0,28218,20494
21,2015,Diesel,Manual,Second,55,1248.0,88.5,12550,34418
22,2015,Petrol,Automatic,First,31,1984.0,177.01,35748,34787
23,2010,Petrol,Manual,First,43,1197.0,80.0,2844,28463
24,2010,Petrol,Automatic,First,33,1598.0,103.6,4335,20505
25,2012,Petrol,Manual,First,39,1497.0,116.3,6465,32261
26,2012,Diesel,Manual,First,54,1461.0,63.1,6465,33554
27,2013,Petrol,Manual,Second,49,998.0,67.1,4183,33554
28,2018,Petrol,Manual,First,41,1199.0,88.7,15060,23257
29,2007,Diesel,Manual,Fourth & Above,30,2494.0,102.0,6084,162799
30,2013,Diesel,Manual,First,44,1461.0,108.45,11789,38525
31,2012,Petrol,Manual,First,34,1798.0,138.1,10268,54441
32,2013,Diesel,Automatic,Second,26,2696.0,184.0,19015,44738
33,2010,Diesel,Automatic,First,29,2698.0,179.5,17494,21747
34,2014,Petrol,Manual,Second,37,1598.0,103.5,10618,34443
35,2009,Petrol,Manual,Second,32,1061.0,64.0,2814,52080
36,2018,Diesel,Manual,First,57,1248.0,88.5,13128,31115
37,2017,Petrol,Manual,First,42,1198.0,82.0,7377,32311
38,2013,Diesel,Automatic,First,27,2987.0,254.8,42594,52816
39,2013,Diesel,Manual,First,51,1199.0,73.9,7606,38525
40,2008,Petrol,Manual,Second,46,796.0,46.3,1901,55923
41,2014,Petrol,Manual,First,59,624.0,37.5,2327,12239
42,2017,Diesel,Manual,First,59,1198.0,77.0,8488,13690
43,2014,Petrol,Manual,First,43,1197.0,82.9,7210,22050
44,2014,Petrol,Automatic,First,34,1999.0,149.92,13462,28815
45,2016,Petrol,Automatic,First,33,1798.0,138.03,15379,32311
46,2008,Diesel,Manual,Second,35,1991.0,112.2,6465,36042
47,2012,Petrol,Manual,First,26,2694.0,163.7,16657,43933
48,2014,Diesel,Manual,First,57,1120.0,71.0,5856,46602
49,2012,Diesel,Manual,Second,38,2498.0,105.0,8366,47099
50,2015,Diesel,Automatic,First,40,1968.0,174.33,32599,8480
51,2014,Diesel,Manual,First,53,1248.0,74.0,6465,32311
52,2014,Diesel,Manual,First,41,1248.0,75.0,5020,32932
